Zaman                       Olay Sırası                           Rasgele Sayı
2022.35.25 12:35:05                   1                                     90
2022.35.25 12:35:05                   2                                     11
2022.35.25 12:35:05                   3                                     19
2022.35.25 12:35:05                   4                                     56
2022.35.25 12:35:05                   5                                     15
2022.35.25 12:35:05                   6                                     3
2022.35.25 12:35:05                   7                                     84
2022.35.25 12:35:05                   8                                     70
2022.35.25 12:35:05                   9                                     99
2022.35.25 12:35:05                   10                                    83
